# Year  Mon  Day  JD           Ayanamsa
1900   1   1   2415020.5    22.4602
1900   1   2   2415021.5    22.4602
1900   1   3   2415022.5    22.4602
1900   1   4   2415023.5    22.4603
1900   1   5   2415024.5    22.4603
1900   1   6   2415025.5    22.4604
1900   1   7   2415026.5    22.4604
1900   1   8   2415027.5    22.4604
1900   1   9   2415028.5    22.4605
1900   1  10   2415029.5    22.4605
1900   1  11   2415030.5    22.4605
1900   1  12   2415031.5    22.4606
1900   1  13   2415032.5    22.4606
1900   1  14   2415033.5    22.4607
1900   1  15   2415034.5    22.4607
1900   1  16   2415035.5    22.4607
1900   1  17   2415036.5    22.4608
1900   1  18   2415037.5    22.4608
1900   1  19   2415038.5    22.4609
1900   1  20   2415039.5    22.4609
1900   1  21   2415040.5    22.4609
1900   1  22   2415041.5    22.4610
1900   1  23   2415042.5    22.4610
1900   1  24   2415043.5    22.4610
1900   1  25   2415044.5    22.4611
1900   1  26   2415045.5    22.4611
1900   1  27   2415046.5    22.4612
1900   1  28   2415047.5    22.4612
1900   1  29   2415048.5    22.4612
1900   1  30   2415049.5    22.4613
1900   1  31   2415050.5    22.4613
1900   2   1   2415051.5    22.4614
1900   2   2   2415052.5    22.4614
1900   2   3   2415053.5    22.4614
1900   2   4   2415054.5    22.4615
1900   2   5   2415055.5    22.4615
1900   2   6   2415056.5    22.4615
1900   2   7   2415057.5    22.4616
1900   2   8   2415058.5    22.4616
1900   2   9   2415059.5    22.4617
1900   2  10   2415060.5    22.4617
1900   2  11   2415061.5    22.4617
1900   2  12   2415062.5    22.4618
1900   2  13   2415063.5    22.4618
1900   2  14   2415064.5    22.4618
1900   2  15   2415065.5    22.4619
1900   2  16   2415066.5    22.4619
1900   2  17   2415067.5    22.4620
1900   2  18   2415068.5    22.4620
1900   2  19   2415069.5    22.4620
1900   2  20   2415070.5    22.4621
1900   2  21   2415071.5    22.4621
1900   2  22   2415072.5    22.4622
1900   2  23   2415073.5    22.4622
1900   2  24   2415074.5    22.4622
1900   2  25   2415075.5    22.4623
1900   2  26   2415076.5    22.4623
1900   2  27   2415077.5    22.4623
1900   2  28   2415078.5    22.4624
1900   3   1   2415079.5    22.4624
1900   3   2   2415080.5    22.4625
1900   3   3   2415081.5    22.4625
1900   3   4   2415082.5    22.4625
1900   3   5   2415083.5    22.4626
1900   3   6   2415084.5    22.4626
1900   3   7   2415085.5    22.4627
1900   3   8   2415086.5    22.4627
1900   3   9   2415087.5    22.4627
1900   3  10   2415088.5    22.4628
1900   3  11   2415089.5    22.4628
1900   3  12   2415090.5    22.4628
1900   3  13   2415091.5    22.4629
1900   3  14   2415092.5    22.4629
1900   3  15   2415093.5    22.4630
1900   3  16   2415094.5    22.4630
1900   3  17   2415095.5    22.4630
1900   3  18   2415096.5    22.4631
1900   3  19   2415097.5    22.4631
1900   3  20   2415098.5    22.4631
1900   3  21   2415099.5    22.4632
